0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
5175,A3515914X,Actual Expenditure ;  Total (State) ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5176,A3515956W,"Actual Expenditure ;  Total (State) ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5177,A3515998V,Actual Expenditure ;  Total (State) ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5178,A3511027F,Actual Expenditure ;  Total (State) ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5179,A3511069C,"Actual Expenditure ;  Total (State) ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5180,A3511111W,Actual Expenditure ;  Total (State) ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5181,A3515833W,Actual Expenditure ;  Total (State) ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5182,A3515836C,Actual Expenditure ;  Total (State) ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5183,A3515869X,Actual Expenditure ;  Total (State) ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5184,A3515959C,Actual Expenditure ;  Total (State) ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5185,A3515962T,Actual Expenditure ;  Total (State) ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5186,A3515995L,Actual Expenditure ;  Total (State) ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5187,A3511072T,Actual Expenditure ;  Total (State) ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5188,A3511075X,Actual Expenditure ;  Total (State) ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5189,A3511108J,Actual Expenditure ;  Total (State) ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5190,A3517402F,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5191,A3517597T,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5192,A3515368A,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5193,A3516301A,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5194,A3516679C,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5195,A3516142C,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5196,A3515764C,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5197,A3511348V,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5198,A3517444C,"Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5199,A3517639C,"Actual Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5200,A3515410V,"Actual Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5201,A3516343X,"Actual Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5202,A3516721W,"Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5203,A3516184A,"Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5204,A3515806R,"Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5205,A3511390X,"Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5206,A3517486A,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5207,A3517681J,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5208,A3515452T,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5209,A3516385W,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5210,A3516763V,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5211,A3511774K,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5212,A3516031L,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5213,A3511432K,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5214,A3517528L,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5215,A3516952F,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5216,A3515494R,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5217,A3516427J,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5218,A3516805F,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5219,A3511816W,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5220,A3510724V,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5221,A3511474J,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Seasonally Adjusted,3
5222,A3517753J,"Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5223,A3516994C,"Actual Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5224,A3515536A,"Actual Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5225,A3516469F,"Actual Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5226,A3516847C,"Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5227,A3511858V,"Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5228,A3510766T,"Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5229,A3511516V,"Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Seasonally Adjusted,3
5230,A3517795F,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5231,A3517036T,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5232,A3515578X,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5233,A3516511X,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5234,A3516889A,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5235,A3511900L,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5236,A3510808C,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5237,A3511558T,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Seasonally Adjusted,3
5238,A3517837T,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5239,A3517078R,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5240,A3515620T,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5241,A3516553W,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5242,A3516931V,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5243,A3511942K,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5244,A3510850J,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5245,A3511600K,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Trend,3
5246,A3517879R,"Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5247,A3517120J,"Actual Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5248,A3516217K,"Actual Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5249,A3516595V,"Actual Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5250,A3516058L,"Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5251,A3515680V,"Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5252,A3511264K,"Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5253,A3511642J,"Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Trend,3
5254,A3517555V,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5255,A3515326C,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5256,A3516259J,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5257,A3516637F,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5258,A3516100F,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5259,A3515722F,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5260,A3511306W,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5261,A3511684F,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Trend,3
5262,A3511153V,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5263,A3512299C,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5264,A3512860X,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5265,A3512323T,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5266,A3511201A,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5267,A3514879K,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5268,A3513256W,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5269,A3514327L,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Original,3
5270,A3511963W,"Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5271,A3512524L,"Actual Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5272,A3512902K,"Actual Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5273,A3512365R,"Actual Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5274,A3511243X,"Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5275,A3514921C,"Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5276,A3513298V,"Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5277,A3514369K,"Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Original,3
5278,A3512005K,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5279,A3512566K,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5280,A3512944J,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5281,A3512407A,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5282,A3514402A,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5283,A3514963A,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5284,A3513340L,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5285,A3514282V,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Original,3
5286,A3512047J,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5287,A3512608W,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5288,A3512986F,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5289,A3512449X,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5290,A3514444X,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5291,A3515005R,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5292,A3513382K,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5293,A3513577K,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5294,A3512089F,"Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5295,A3512650A,"Actual Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5296,A3513028V,"Actual Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5297,A3512491C,"Actual Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5298,A3514669L,"Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5299,A3515047L,"Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5300,A3514510K,"Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5301,A3513619W,"Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Seasonally Adjusted,3
5302,A3512131X,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5303,A3512692X,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5304,A3513070X,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5305,A3513430T,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5306,A3514711F,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5307,A3515089K,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5308,A3514552J,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5309,A3513661A,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Seasonally Adjusted,3
5310,A3512173W,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5311,A3512734K,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5312,A3513112K,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5313,A3513472R,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5314,A3514753C,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5315,A3513130R,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5316,A3514594F,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5317,A3513703L,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Buildings and Structures ;  Chain Volume Measures,$ Millions,Trend,3
5318,A3512215J,"Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5319,A3512776J,"Actual Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5320,A3510922J,"Actual Expenditure ;  Queensland ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5321,A3513514A,"Actual Expenditure ;  South Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5322,A3514795A,"Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5323,A3513172L,"Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5324,A3514636T,"Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5325,A3513745K,"Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Chain Volume Measures",$ Millions,Trend,3
5326,A3512257F,Actual Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5327,A3512818V,Actual Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5328,A3510964F,Actual Expenditure ;  Queensland ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5329,A3513556X,Actual Expenditure ;  South Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5330,A3514837L,Actual Expenditure ;  Western Australia ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5331,A3513214X,Actual Expenditure ;  Tasmania ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5332,A3514213R,Actual Expenditure ;  Northern Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5333,A3513787J,Actual Expenditure ;  Australian Capital Territory ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Chain Volume Measures,$ Millions,Trend,3
5334,A3517403J,Short Term Expected Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5335,A3517445F,"Short Term Expected Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5336,A3517487C,Short Term Expected Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5337,A3517404K,Long Term Expected Expenditure ;  New South Wales ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5338,A3517446J,"Long Term Expected Expenditure ;  New South Wales ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5339,A3517488F,Long Term Expected Expenditure ;  New South Wales ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5340,A3517447K,Actual Expenditure ;  New South Wales ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5341,A3517450X,Actual Expenditure ;  New South Wales ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5342,A3517483V,Actual Expenditure ;  New South Wales ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5343,A3517448L,Short Term Expected Expenditure ;  New South Wales ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5344,A3517451A,Short Term Expected Expenditure ;  New South Wales ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5345,A3517484W,Short Term Expected Expenditure ;  New South Wales ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5346,A3517449R,Long Term Expected Expenditure ;  New South Wales ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5347,A3517452C,Long Term Expected Expenditure ;  New South Wales ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5348,A3517485X,Long Term Expected Expenditure ;  New South Wales ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5349,A3517598V,Short Term Expected Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5350,A3517640L,"Short Term Expected Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5351,A3517682K,Short Term Expected Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5352,A3517599W,Long Term Expected Expenditure ;  Victoria ;  Total (Industry) ;  Buildings and Structures ;  Current Price,$ Millions,Original,3
5353,A3517641R,"Long Term Expected Expenditure ;  Victoria ;  Total (Industry) ;  Equipment, Plant and Machinery ;  Current Price",$ Millions,Original,3
5354,A3517683L,Long Term Expected Expenditure ;  Victoria ;  Total (Industry) ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5355,A3517642T,Actual Expenditure ;  Victoria ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5356,A3517645X,Actual Expenditure ;  Victoria ;  Manufacturing ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5357,A3517678V,Actual Expenditure ;  Victoria ;  Other Selected Industries ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
5358,A3517643V,Short Term Expected Expenditure ;  Victoria ;  Mining ;  Total (Type of Asset - Detailed Level) ;  Current Price,$ Millions,Original,3
